Metric,Basic_Mean,Basic_Std,Robust_Mean,Robust_Std,Improvement
RMSE,0.9496888888888889,0.022911593377831902,0.9353555555555554,0.02503228470950621,-1.5092661924373103
MAE,0.7481222222222222,0.01865976807048911,0.7368333333333333,0.02118065154805205,-1.5089631818924438
Hit Rate@10,0.9826333333333334,0.0005499999999999949,0.9775888888888891,0.00033333333333333365,-0.5133597928468703
ARHR@10,0.8888777777777777,0.002471223268837609,0.8888444444444444,0.005038132370013498,-0.0037500468755730424
MAP@10,0.5111111111111111,0.001470071804746657,0.5133111111111112,0.005362705577515057,0.43043478260871343
NDCG@10,0.8950999999999999,0.001390143877445771,0.8959666666666668,0.0032054640849649247,0.09682344616991446
