Model,Scenario,RMSE,MAE,Hit Rate@10,ARHR@10,MAP@10,NDCG@10
UBCF,No Attack,0.9681,0.7635,0.9777,0.8907,0.5079,0.8938
UBCF,Random Attack,0.9683,0.764,0.9777,0.8899,0.5081,0.8945
UBCF,Average Attack,0.9683,0.7641,0.9777,0.8891,0.5079,0.8943
IBCF,No Attack,0.9132,0.7157,0.9777,0.8943,0.5214,0.9001
IBCF,Random Attack,0.9141,0.7163,0.9777,0.8943,0.5197,0.9007
IBCF,Average Attack,0.9146,0.7168,0.9777,0.8935,0.519,0.8997
SVD,No Attack,0.9235,0.73,0.9777,0.8825,0.5119,0.8942
SVD,Random Attack,0.9236,0.7298,0.9767,0.8823,0.5121,0.8926
SVD,Average Attack,0.9245,0.7313,0.9777,0.883,0.5118,0.8938
